Time	ax	ay	az	gx	gy	gz
0.015	-1.2549902343750001	-19.62	5.048701171875	-13.5040283203125	1.16729736328125	0.0457763671875
0.025	-1.24780517578125	-19.62	5.087021484375001	-13.61083984375	1.19781494140625	0.091552734375
0.035	-1.2166699218750001	-19.62	5.0199609375000005	-13.5650634765625	1.15203857421875	0.152587890625
0.047	-1.3172607421875	-19.62	4.9936157226562505	-13.641357421875	1.129150390625	-0.0152587890625
0.057	-1.28133544921875	-19.62	5.05109619140625	-13.5040283203125	1.21307373046875	0.213623046875
0.067	-1.29570556640625	-19.62	5.0966015625	-13.57269287109375	1.19781494140625	-0.06103515625
0.077	-1.178349609375	-19.62	4.991220703125	-13.5345458984375	1.09100341796875	0.091552734375
0.088	-1.25738525390625	-19.62	5.07025634765625	-13.60321044921875	1.1444091796875	0.0
0.098	-1.235830078125	-19.62	5.007985839843751	-13.5955810546875	1.21307373046875	-0.11444091796875
0.108	-1.2118798828125001	-19.62	5.1013916015625	-13.66424560546875	1.373291015625	-0.030517578125
0.119	-1.21906494140625	-19.62	5.0726513671875	-13.580322265625	1.15966796875	0.11444091796875
0.13	-1.3076806640625	-19.62	5.000800781250001	-13.5040283203125	1.01470947265625	-0.02288818359375
0.141	-1.32205078125	-19.62	5.0199609375000005	-13.35906982421875	1.2054443359375	-0.091552734375
0.151	-1.2549902343750001	-19.62	5.01277587890625	-13.55743408203125	1.02996826171875	0.1068115234375
0.162	-1.3148657226562501	-19.62	5.048701171875	-13.4735107421875	1.15203857421875	-0.14495849609375
0.173	-1.22625	-19.62	5.03672607421875	-13.5345458984375	1.25885009765625	0.03814697265625
0.184	-1.2310400390625	-19.62	5.05588623046875	-13.61846923828125	1.16729736328125	-0.06103515625
0.194	-1.21427490234375	-19.62	5.034331054687501	-13.46588134765625	1.28173828125	0.26702880859375
0.204	-1.2502001953125002	-19.62	5.04151611328125	-13.519287109375	1.0986328125	0.12969970703125
0.216	-1.30528564453125	-19.62	5.027145996093751	-13.5345458984375	1.27410888671875	-0.152587890625
0.226	-1.31965576171875	-19.62	4.952900390625	-13.6260986328125	1.190185546875	0.06103515625
0.236	-1.24541015625	-19.62	5.03672607421875	-13.51165771484375	1.251220703125	0.06103515625
0.247	-1.2597802734375	-19.62	5.067861328125001	-13.6871337890625	0.9918212890625	0.030517578125
0.258	-1.3316308593750001	-19.62	5.029541015625	-13.4735107421875	1.04522705078125	-0.20599365234375
0.269	-1.3172607421875	-19.62	5.03912109375	-13.42010498046875	1.35040283203125	-0.14495849609375
0.279	-1.2502001953125002	-19.62	4.9768505859375	-13.5040283203125	1.3275146484375	0.06103515625
0.289	-1.2933105468750001	-19.62	4.907395019531251	-13.5955810546875	1.21307373046875	0.16021728515625
0.301	-1.2214599609375	-19.62	5.0726513671875	-13.61083984375	0.98419189453125	0.030517578125
0.311	-1.28373046875	-19.62	5.029541015625	-13.54217529296875	1.220703125	0.1220703125
0.322	-1.3076806640625	-19.62	4.967270507812501	-13.519287109375	1.0833740234375	-0.1373291015625
0.332	-1.23822509765625	-19.62	4.96487548828125	-13.57269287109375	1.220703125	-0.030517578125
