Time	ax	ay	az	gx	gy	gz
0.011	17.009428710937502	-8.133486328125	3.496728515625	-12.1612548828125	2.532958984375	1.89971923828125
0.017	17.03098388671875	-8.116721191406251	3.439248046875	-12.24517822265625	2.716064453125	1.8310546875
0.022	17.04535400390625	-8.138276367187501	3.4584082031250003	-12.21466064453125	2.43377685546875	1.7852783203125
0.027	17.08846435546875	-8.116721191406251	3.4512231445312502	-12.16888427734375	2.52532958984375	1.96075439453125
0.033	16.99266357421875	-8.16941162109375	3.40332275390625	-12.19940185546875	2.6702880859375	2.08282470703125
0.038	17.0525390625	-8.07361083984375	3.4224829101562504	-12.1307373046875	2.62451171875	1.82342529296875
0.044	17.0669091796875	-8.10235107421875	3.41769287109375	-12.07733154296875	2.70843505859375	1.9683837890625
0.049	17.05014404296875	-8.138276367187501	3.477568359375	-12.1917724609375	2.3345947265625	1.89971923828125
0.055	17.08846435546875	-8.076005859375	3.47038330078125	-12.30621337890625	2.4871826171875	1.91497802734375
0.06	17.01421875	-8.12630126953125	3.39374267578125	-12.16888427734375	2.5177001953125	1.89208984375
0.065	17.04535400390625	-8.078400878906251	3.46080322265625	-12.24517822265625	2.54058837890625	1.800537109375
0.071	17.0477490234375	-8.1286962890625	3.4320629882812503	-12.3138427734375	2.5177001953125	1.953125
0.076	17.023798828125003	-8.12630126953125	3.46080322265625	-11.993408203125	2.54058837890625	1.89971923828125
0.081	17.0477490234375	-8.1670166015625	3.4152978515625003	-12.1917724609375	2.5177001953125	1.91497802734375
0.088	17.042958984375	-8.1478564453125	3.42966796875	-12.18414306640625	2.5177001953125	1.86920166015625
0.093	17.009428710937502	-8.10235107421875	3.4152978515625003	-12.3138427734375	2.57110595703125	1.82342529296875
0.098	17.11001953125	-8.1622265625	3.34105224609375	-12.2528076171875	2.49481201171875	1.97601318359375
0.104	17.0381689453125	-8.138276367187501	3.439248046875	-12.20703125	2.83050537109375	1.7547607421875
0.109	17.10283447265625	-8.13588134765625	3.41769287109375	-12.26043701171875	2.55584716796875	1.83868408203125
0.114	17.042958984375	-8.15025146484375	3.4512231445312502	-12.18414306640625	2.5634765625	1.64794921875
0.12	17.069304199218752	-8.092770996093751	3.47996337890625	-12.237548828125	2.62451171875	1.79290771484375
