Time	ax	ay	az	gx	gy	gz
0.011	17.0764892578125	-8.15504150390625	3.3961376953125	-12.32147216796875	2.54058837890625	1.9378662109375
0.016	17.03337890625	-8.116721191406251	3.44643310546875	-12.2222900390625	2.54058837890625	1.73187255859375
0.02	17.01421875	-8.0520556640625	3.4081127929687502	-12.3291015625	2.5177001953125	1.85394287109375
0.024	17.0381689453125	-8.10474609375	3.3290771484375004	-12.10784912109375	2.5482177734375	1.800537109375
0.028	17.0477490234375	-8.14306640625	3.3961376953125	-12.26043701171875	2.57110595703125	1.77001953125
0.033	17.11001953125	-8.123906250000001	3.420087890625	-12.24517822265625	2.44140625	1.7852783203125
0.037	17.03577392578125	-8.18857177734375	3.439248046875	-12.2222900390625	2.51007080078125	1.6937255859375
0.041	17.090859375	-8.10474609375	3.3673974609375	-12.24517822265625	2.4261474609375	1.983642578125
0.047	17.004638671875	-8.131091308593751	3.40332275390625	-12.39013671875	2.532958984375	1.89971923828125
0.051	17.03337890625	-8.13588134765625	3.41769287109375	-12.2222900390625	2.471923828125	1.8463134765625
0.055	17.026193847656252	-8.14306640625	3.39374267578125	-12.24517822265625	2.52532958984375	1.91497802734375
0.06	17.0525390625	-8.116721191406251	3.49433349609375	-12.1917724609375	2.64739990234375	1.8768310546875
0.064	17.03577392578125	-8.12151123046875	3.4416430664062503	-12.2528076171875	2.37274169921875	1.99127197265625
0.068	17.0525390625	-8.0999560546875	3.4584082031250003	-12.18414306640625	2.74658203125	1.73187255859375
0.073	16.98308349609375	-8.116721191406251	3.400927734375	-12.21466064453125	2.593994140625	1.800537109375
0.077	17.09804443359375	-8.16941162109375	3.41290283203125	-12.1612548828125	2.55584716796875	1.9378662109375
0.081	17.00703369140625	-8.152646484375001	3.4488281250000004	-12.26043701171875	2.6092529296875	1.82342529296875
0.086	17.040563964843752	-8.1191162109375	3.5398388671875	-12.30621337890625	2.52532958984375	1.8768310546875
0.091	16.966318359375002	-8.131091308593751	3.4631982421875	-12.21466064453125	2.64739990234375	1.67083740234375
0.095	17.0573291015625	-8.092770996093751	3.40332275390625	-12.3443603515625	2.4871826171875	1.8463134765625
0.099	17.011823730468752	-8.1191162109375	3.4320629882812503	-12.20703125	2.6397705078125	1.7547607421875
