Time	ax	ay	az	gx	gy	gz
0.011	0.0002592143788933754	-0.00012425333261489868	5.193058401346207e-05	-0.00018835999071598053	4.086177796125412e-05	3.329478204250336e-05
0.019	0.000261443629860878	-0.0001242898777127266	5.057841539382935e-05	-0.00018498394638299942	4.272442311048508e-05	3.0267983675003052e-05
0.027	0.00026027418673038485	-0.00012370515614748	5.562163889408112e-05	-0.0001878943294286728	3.294553607702255e-05	3.259629011154175e-05
0.035	0.0002608954533934593	-0.00012443605810403825	4.908006638288498e-05	-0.0001878943294286728	3.5390257835388184e-05	3.2014213502407074e-05
0.045	0.0002600914612412453	-0.0001242898777127266	5.313657224178315e-05	-0.00018603168427944183	3.771856427192688e-05	3.0617229640483856e-05
0.053	0.00026063963770866393	-0.00012447260320186615	5.028605461120606e-05	-0.0001862645149230957	4.156026989221573e-05	3.317836672067642e-05
0.061	0.0002615532651543617	-0.00012483805418014526	5.211330950260163e-05	-0.00018812716007232666	4.0279701352119446e-05	3.0850060284137726e-05
0.069	0.0002600914612412453	-0.00012385133653879167	5.0943866372108464e-05	-0.00018766149878501892	3.7602148950099945e-05	3.247987478971481e-05
0.077	0.00026023764163255695	-0.00012421678751707078	5.054187029600144e-05	-0.00018603168427944183	3.8300640881061554e-05	3.306195139884949e-05
0.086	0.00026115126907825473	-0.00012421678751707078	5.1199682056903844e-05	-0.0001889420673251152	3.7834979593753815e-05	3.166496753692627e-05
0.094	0.000260201096534729	-0.00012418024241924288	5.233258008956909e-05	-0.0001862645149230957	3.655441105365753e-05	3.119930624961853e-05
0.102	0.0002599818259477615	-0.00012425333261489868	5.141895264387131e-05	-0.00018777791410684586	3.7834979593753815e-05	3.550667315721512e-05
0.111	0.00026031073182821276	-0.00012388788163661957	5.163822323083878e-05	-0.00018742866814136505	3.573950380086899e-05	3.0384398996829987e-05
0.119	0.0002607127279043198	-0.00012447260320186615	5.1711313426494604e-05	-0.00018684659153223038	4.0745362639427185e-05	3.504101186990738e-05
0.128	0.00026023764163255695	-0.00012414369732141495	4.955515265464783e-05	-0.00018801074475049973	3.934837877750397e-05	3.213062882423401e-05
0.136	0.0002605300024151802	-0.0001236320659518242	5.214985460042954e-05	-0.00018870923668146133	3.550667315721512e-05	3.213062882423401e-05
0.144	0.0002608223631978035	-0.0001248745992779732	5.193058401346207e-05	-0.00018707942217588425	4.086177796125412e-05	3.294553607702255e-05
0.152	0.00026031073182821276	-0.00012410715222358704	5.057841539382935e-05	-0.00018614809960126877	3.748573362827301e-05	3.4458935260772705e-05
0.161	0.0002604569122195244	-0.00012542277574539184	5.255185067653656e-05	-0.00018568243831396103	3.993045538663864e-05	3.0850060284137726e-05
0.169	0.00026056654751300813	-0.0001239975169301033	5.163822323083878e-05	-0.00018766149878501892	3.8533471524715424e-05	3.457535058259964e-05
0.178	0.0002598356455564499	-0.00012407060712575914	5.083423107862473e-05	-0.00018568243831396103	3.608874976634979e-05	3.1781382858753204e-05
0.186	0.00026027418673038485	-0.0001245822384953499	5.083423107862473e-05	-0.00018684659153223038	3.8300640881061554e-05	3.259629011154175e-05
0.194	0.0002591047435998917	-0.00012545932084321977	5.024950951337814e-05	-0.00018847640603780746	3.8300640881061554e-05	3.166496753692627e-05
0.202	0.0002607127279043198	-0.00012432642281055451	5.182094871997833e-05	-0.00018649734556674957	3.9814040064811707e-05	3.247987478971481e-05
0.211	0.00026042036712169646	-0.0001242898777127266	5.277112126350403e-05	-0.00018835999071598053	3.7136487662792206e-05	3.166496753692627e-05
0.22	0.0002600183710455895	-0.0001239975169301033	5.109004676342011e-05	-0.00018707942217588425	4.0745362639427185e-05	3.0617229640483856e-05
0.228	0.000260201096534729	-0.0001242898777127266	5.087077617645264e-05	-0.0001882435753941536	3.795139491558075e-05	3.1315721571445465e-05
0.236	0.000259799100458622	-0.00012377824634313584	5.233258008956909e-05	-0.00018952414393424988	3.8067810237407684e-05	3.096647560596466e-05
0.244	0.0002608589082956314	-0.0001242898777127266	5.185749381780625e-05	-0.0001905718818306923	3.899913281202316e-05	3.247987478971481e-05
0.252	0.0002607858180999756	-0.00012443605810403825	5.130931735038758e-05	-0.00018614809960126877	3.620516508817673e-05	3.0035153031349182e-05
0.262	0.00026056654751300813	-0.00012531314045190813	5.130931735038758e-05	-0.00018603168427944183	3.527384251356125e-05	3.282912075519562e-05
0.27	0.0002607127279043198	-0.00012344934046268463	5.152858793735504e-05	-0.00018544960767030716	3.899913281202316e-05	3.073364496231079e-05
0.278	0.00026122435927391054	-0.00012425333261489868	5.0688050687313084e-05	-0.00018835999071598053	3.899913281202316e-05	3.282912075519562e-05
0.286	0.0002607492730021477	-0.00012418024241924288	5.116313695907593e-05	-0.00018568243831396103	3.3527612686157227e-05	3.073364496231079e-05
0.294	0.0002601280063390732	-0.00012465532869100572	5.130931735038758e-05	-0.00018905848264694214	3.94647940993309e-05	3.2247044146060944e-05
0.303	0.00026034727692604066	-0.00012421678751707078	5.079768598079682e-05	-0.00018603168427944183	3.702007234096527e-05	3.3993273973464966e-05
0.312	0.0002600549161434174	-0.00012476496398448946	5.182094871997833e-05	-0.0001866137608885765	3.8300640881061554e-05	2.9685907065868378e-05
0.32	0.0002607127279043198	-0.00012381479144096374	5.185749381780625e-05	-0.0001882435753941536	3.888271749019623e-05	2.9918737709522247e-05
0.328	0.00025903165340423584	-0.00012421678751707078	5.163822323083878e-05	-0.00018812716007232666	3.876630216836929e-05	3.073364496231079e-05
0.336	0.0002607858180999756	-0.0001240340620279312	5.050532519817352e-05	-0.00018847640603780746	3.608874976634979e-05	2.9918737709522247e-05
0.345	0.000261443629860878	-0.00012450914829969405	5.233258008956909e-05	-0.00018905848264694214	4.086177796125412e-05	3.3760443329811096e-05
0.353	0.0002599452808499336	-0.00012418024241924288	5.262494087219239e-05	-0.0001878943294286728	3.841705620288849e-05	3.41096892952919e-05
0.362	0.0002598721906542778	-0.00012414369732141495	4.9664787948131565e-05	-0.00018754508346319199	3.585591912269592e-05	3.14321368932724e-05
0.37	0.0002606761828064919	-0.00012443605810403825	5.182094871997833e-05	-0.0001859152689576149	3.7369318306446075e-05	3.073364496231079e-05
0.378	0.00025972601026296615	-0.00012439951300621035	5.039568990468979e-05	-0.00018510036170482635	4.3190084397792816e-05	3.247987478971481e-05
0.387	0.00026042036712169646	-0.00012443605810403825	5.130931735038758e-05	-0.00018707942217588425	4.109460860490799e-05	3.0151568353176117e-05
0.395	0.0002608589082956314	-0.00012436296790838242	5.057841539382935e-05	-0.00018673017621040344	3.934837877750397e-05	3.050081431865692e-05
0.403	0.00026063963770866393	-0.0001252765953540802	5.10535016655922e-05	-0.0001862645149230957	3.67872416973114e-05	2.9453076422214508e-05
0.412	0.0002600183710455895	-0.00012509386986494066	5.342893302440644e-05	-0.00018870923668146133	3.6903657019138336e-05	3.0850060284137726e-05
0.42	0.00026038382202386856	-0.0001252765953540802	5.189403891563416e-05	-0.0001855660229921341	4.0745362639427185e-05	2.8870999813079834e-05
0.429	0.0002608954533934593	-0.0001246187835931778	5.1236227154731753e-05	-0.00018777791410684586	3.818422555923462e-05	3.166496753692627e-05
0.437	0.000260201096534729	-0.00012436296790838242	5.211330950260163e-05	-0.0001866137608885765	3.64379957318306e-05	3.2014213502407074e-05
0.445	0.00025972601026296615	-0.0001246187835931778	5.079768598079682e-05	-0.00018847640603780746	3.725290298461914e-05	3.2247044146060944e-05
0.453	0.00026063963770866393	-0.00012469187378883362	5.306348204612732e-05	-0.0001878943294286728	3.888271749019623e-05	3.41096892952919e-05
0.462	0.0002604934573173523	-0.0001233397051692009	5.141895264387131e-05	-0.00018649734556674957	3.655441105365753e-05	3.0617229640483856e-05
0.471	0.00026031073182821276	-0.00012472841888666153	5.174785852432251e-05	-0.00018905848264694214	3.7602148950099945e-05	3.166496753692627e-05
0.479	0.00026228416711092	-0.0001245822384953499	5.024950951337814e-05	-0.00018579885363578796	4.1211023926734924e-05	2.8172507882118225e-05
0.487	0.0002594336494803429	-0.00012359552085399627	5.547545850276947e-05	-0.00018719583749771118	3.702007234096527e-05	3.306195139884949e-05
0.495	0.00026096854358911517	-0.00012407060712575914	5.024950951337814e-05	-0.00018638093024492264	3.771856427192688e-05	3.2247044146060944e-05
0.503	0.0002600914612412453	-0.00012439951300621035	5.247876048088074e-05	-0.00018451828509569168	3.888271749019623e-05	3.0035153031349182e-05
0.513	0.0002613705396652222	-0.00012502077966928483	5.288075655698777e-05	-0.0001885928213596344	3.876630216836929e-05	3.2014213502407074e-05
0.521	0.000260201096534729	-0.0001248745992779732	5.0980411469936374e-05	-0.0001896405592560768	3.923196345567703e-05	3.2247044146060944e-05
0.529	0.00026031073182821276	-0.00012447260320186615	5.313657224178315e-05	-0.00018603168427944183	4.0046870708465576e-05	3.213062882423401e-05
0.537	0.0002599452808499336	-0.0001246187835931778	5.156513303518295e-05	-0.0001889420673251152	4.1676685214042664e-05	3.387685865163803e-05
0.545	0.00026104163378477097	-0.00012370515614748	5.185749381780625e-05	-0.00018684659153223038	3.934837877750397e-05	3.3527612686157227e-05
0.553	0.00026115126907825473	-0.0001246187835931778	5.0468780100345614e-05	-0.00018882565200328827	3.4691765904426575e-05	3.247987478971481e-05
0.563	0.00026060309261083603	-0.00012465532869100572	5.152858793735504e-05	-0.00018754508346319199	3.7369318306446075e-05	3.2014213502407074e-05
0.571	0.0002615898102521897	-0.0001248745992779732	5.1711313426494604e-05	-0.00018731225281953812	4.1443854570388794e-05	3.341119736433029e-05
0.579	0.0002605300024151802	-0.00012355897575616837	5.134586244821549e-05	-0.0001866137608885765	4.0512531995773315e-05	3.2247044146060944e-05
0.587	0.000259799100458622	-0.00012421678751707078	5.057841539382935e-05	-0.00018638093024492264	4.0512531995773315e-05	3.271270543336868e-05
0.595	0.000261443629860878	-0.0001256055012345314	5.112659186124802e-05	-0.0001896405592560768	3.655441105365753e-05	3.1548552215099335e-05
0.604	0.0002600183710455895	-0.00012469187378883362	5.141895264387131e-05	-0.00018707942217588425	3.6903657019138336e-05	3.073364496231079e-05
