Time	ax	ay	az	gx	gy	gz
0.014	-9.649533691406251	-0.24908203125	-0.49337402343750003	-0.1983642578125	0.00762939453125	0.3509521484375
0.023	-9.69743408203125	-0.27063720703125	-0.52929931640625	-0.152587890625	-0.00762939453125	0.48065185546875
0.033	-9.687854003906251	-0.25147705078125	-0.47900390625	-0.11444091796875	-0.0762939453125	0.32806396484375
0.043	-9.72138427734375	-0.258662109375	-0.49576904296875	-0.1220703125	-0.32806396484375	0.37384033203125
0.052	-9.704619140625	-0.28261230468750004	-0.44307861328125003	0.0457763671875	0.0152587890625	0.2593994140625
0.061	-9.69264404296875	-0.258662109375	-0.51971923828125	-0.12969970703125	-0.0762939453125	0.25177001953125
0.07	-9.70701416015625	-0.2442919921875	-0.4742138671875	-0.18310546875	-0.00762939453125	0.20599365234375
0.079	-9.716594238281251	-0.28740234375	-0.55324951171875	-0.12969970703125	-0.1068115234375	0.3814697265625
0.089	-9.66390380859375	-0.31853759765625	-0.47660888671875	-0.06103515625	-0.05340576171875	0.20599365234375
0.098	-9.673483886718751	-0.28261230468750004	-0.47900390625	-0.02288818359375	-0.25177001953125	0.41961669921875
0.107	-9.709409179687501	-0.26345214843750003	-0.49097900390625004	-0.11444091796875	0.0	0.34332275390625
0.117	-9.6710888671875	-0.258662109375	-0.4454736328125	-0.17547607421875	0.091552734375	0.3662109375
0.126	-9.7189892578125	-0.29219238281250004	-0.44786865234375	-0.26702880859375	-0.091552734375	0.42724609375
0.136	-9.685458984375	-0.27542724609375	-0.5029541015625	0.0	-0.1983642578125	0.48065185546875
0.146	-9.6327685546875	-0.27063720703125	-0.5029541015625	-0.11444091796875	-0.12969970703125	0.32806396484375
0.156	-9.704619140625	-0.28261230468750004	-0.5029541015625	-0.1373291015625	-0.1220703125	0.18310546875
0.165	-9.69264404296875	-0.26105712890625	-0.5077441406250001	-0.20599365234375	-0.0457763671875	0.2593994140625
0.176	-9.695039062500001	-0.26345214843750003	-0.51492919921875	-0.244140625	-0.22125244140625	0.25177001953125
0.185	-9.66869384765625	-0.29937744140625	-0.46702880859375	-0.244140625	-0.18310546875	0.35858154296875
0.195	-9.67827392578125	-0.28261230468750004	-0.49097900390625004	-0.1983642578125	-0.09918212890625	0.274658203125
0.204	-9.6615087890625	-0.22513183593750002	-0.44307861328125003	-0.14495849609375	0.06866455078125	0.30517578125
0.215	-9.680668945312501	-0.29937744140625	-0.45984375	-0.03814697265625	-0.0762939453125	0.1983642578125
0.224	-9.65911376953125	-0.20597167968750002	-0.46702880859375	-0.3204345703125	-0.12969970703125	0.32806396484375
0.233	-9.695039062500001	-0.24908203125	-0.49576904296875	-0.1678466796875	0.06103515625	0.43487548828125
0.243	-9.716594238281251	-0.24908203125	-0.48379394531250003	-0.16021728515625	-0.1068115234375	0.30517578125
0.252	-9.77886474609375	-0.18202148437500001	-0.4646337890625	-0.244140625	0.11444091796875	0.25177001953125
0.263	-9.6710888671875	-0.29937744140625	-0.44786865234375	-0.20599365234375	-0.030517578125	0.19073486328125
0.272	-9.647138671875	-0.27542724609375	-0.51971923828125	-0.3204345703125	-0.0457763671875	0.2899169921875
0.282	-9.70701416015625	-0.24189697265625001	-0.40475830078125	-0.08392333984375	-0.00762939453125	0.17547607421875
0.291	-9.65911376953125	-0.30177246093750004	-0.5795947265625	-0.091552734375	-0.2593994140625	0.22125244140625
0.302	-9.69264404296875	-0.27303222656250004	-0.44307861328125003	-0.091552734375	-0.17547607421875	0.0762939453125
0.311	-9.69264404296875	-0.3209326171875	-0.55564453125	-0.06866455078125	0.0457763671875	0.3662109375
0.32	-9.6519287109375	-0.22034179687500002	-0.44068359375000005	-0.11444091796875	-0.152587890625	0.19073486328125
